Ticks: 00000432	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: d0 Register BC: 0110 Register DE: c00d Register HL: 400d	Flags: ---C
Ticks: 00000444	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: d0 Register BC: 0110 Register DE: c00d Register HL: 400e	Flags: ---C
Ticks: 00000448	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: c8 Register BC: 0110 Register DE: c00d Register HL: 400e	Flags: ---C
Ticks: 00000452	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: c8 Register BC: 0110 Register DE: c00d Register HL: 400e	Flags: ---C
Ticks: 00000460	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: c8 Register BC: 0110 Register DE: c00e Register HL: 400e	Flags: ---C
Ticks: 00000472	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: c8 Register BC: 0110 Register DE: c00e Register HL: 400f	Flags: ---C
Ticks: 00000476	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: 00 Register BC: 0110 Register DE: c00e Register HL: 400f	Flags: ---C
Ticks: 00000480	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: 00 Register BC: 0110 Register DE: c00e Register HL: 400f	Flags: ---C
Ticks: 00000488	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: 00 Register BC: 0110 Register DE: c00f Register HL: 400f	Flags: ---C
Ticks: 00000500	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: 00 Register BC: 0110 Register DE: c00f Register HL: 4010	Flags: ---C
Ticks: 00000504	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: c9 Register BC: 0110 Register DE: c00f Register HL: 4010	Flags: ---C
Ticks: 00000508	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: c9 Register BC: 0110 Register DE: c00f Register HL: 4010	Flags: ---C
Ticks: 00000516	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: c9 Register BC: 0110 Register DE: c010 Register HL: 4010	Flags: --HC
Ticks: 00000528	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: c9 Register BC: 0110 Register DE: c010 Register HL: 4011	Flags: --HC
